url,title,company,location,remote,job_type,date_posted,skills,number_of_skills
https://remoteOK.com/remote-jobs/remote-senior-cad-backend-engineer-mechanical-cad-automation-foundation-egi-1131271,Senior CAD Backend Engineer Mechanical CAD Automation,Foundation EGI,Remote,True,Remote,2026-04-22 16:00:50+00:00,"design, python, 3d, senior, engineer, engineering, backend, digital nomad",8
https://remoteOK.com/remote-jobs/remote-solution-engineer-i-onit-inc-1131270,Solution Engineer I,"Onit, Inc.","Pune, Maharashtra",True,Remote,2026-04-22 16:00:43+00:00,"support, software, growth, code, css, microsoft, management, lead, operations, legal, engineer",11
https://remoteOK.com/remote-jobs/remote-senior-data-engineer-capnexus-1131269,Senior Data Engineer,Capnexus,Remote,True,Remote,2026-04-22 16:00:36+00:00,"amazon, system, software, cloud, api, lead, senior, engineer, engineering",9
https://remoteOK.com/remote-jobs/remote-senior-app-amp-frontend-developer-as233-smart-working-solutions-1131268,Senior App &amp; Frontend Developer AS233,Smart Working Solutions,Remote,True,Remote,2026-04-22 16:00:26+00:00,"frontend, developer, embedded, architect, technical, testing, growth, cloud, management, senior, junior, marketing, analytics, engineering, apache, digital nomad",16
https://remoteOK.com/remote-jobs/remote-provider-services-analyst-i-trend-health-partners-1131267,Provider Services Analyst I,Trend Health Partners,Remote,True,Remote,2026-04-22 16:00:18+00:00,"analyst, support, software, financial, microsoft, leader, legal, medical, health, healthcare",10
https://remoteOK.com/remote-jobs/remote-ppc-amazon-strategist-trivium-1131266,PPC & Amazon Strategist,Trivium,Remote,True,Remote,2026-04-22 16:00:08+00:00,"amazon, strategist, growth, video, ads, strategy, lead, senior, marketing, analytics, sales, full-time",12
https://remoteOK.com/remote-jobs/remote-data-scientist-junction-1131265,Data Scientist,Junction,Remote,True,Remote,2026-04-22 16:00:02+00:00,"python, technical, cloud, management, lead, analytics, health, healthcare, engineering",9
https://remoteOK.com/remote-jobs/remote-shift-lead-downtown-doordash-usa-1131264,Shift Lead Downtown,DoorDash USA,"Dallas, TX",True,Remote,2026-04-22 08:00:27+00:00,"support, management, lead, operations, go",5
https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-pave-bank-1131263,Senior Site Reliability Engineer,Pave Bank,Kuala Lumpur,True,Remote,2026-04-22 08:00:17+00:00,"crypto, system, security, technical, support, code, financial, fintech, banking, finance, bank, cloud, senior, operations, operational, reliability, engineer",17
https://remoteOK.com/remote-jobs/remote-principal-product-manager-oportun-1131262,Principal Product Manager,Oportun,Remote,True,Remote,2026-04-22 08:00:10+00:00,"manager, growth, financial, management, lead, marketing",6
https://remoteOK.com/remote-jobs/remote-high-paying-hourly-enrollment-specialist-vp-education-group-1131261,High Paying Hourly Enrollment Specialist,VP Education Group,Remote,True,Remote,2026-04-22 06:46:22+00:00,customer support,1
